date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:59	4245/4245	---MCZ	200	added ('OK')	text/html	etag:W/%225f70f7f5-1095%22	https://www.photopea.com/	C:/pficina/paginasddescargadas/photofera/www.photopea.com/index.html	(from )
23:53:59	597/597	---M-Z	404	error ('Not%20Found')	text/html	etag:%223fe-58734cf062a07-gzip%22	https://www.photopea.com/robots.txt		(from )
23:54:00	174763/174763	---MCZ	200	added ('OK')	image/png	etag:W/%22590118ca-2aaab%22	https://www.photopea.com/promo/screens/scr5.png	C:/pficina/paginasddescargadas/photofera/www.photopea.com/promo/screens/scr5.png	(from https://www.photopea.com/)
23:54:00	17293/17293	---MCZ	200	added ('OK')	image/png	etag:W/%225cab8b93-438d%22	https://www.photopea.com/promo/icon512.png	C:/pficina/paginasddescargadas/photofera/www.photopea.com/promo/icon512.png	(from https://www.photopea.com/)
23:54:01	2637/2637	---MCZ	200	added ('OK')	image/png	etag:W/%225cc0f557-a4d%22	https://www.photopea.com/promo/thumb256.png	C:/pficina/paginasddescargadas/photofera/www.photopea.com/promo/thumb256.png	(from https://www.photopea.com/)
23:54:01	470/470	---M--	200	added ('OK')	application/json	etag:%221d6-59e79e164f67a%22	https://www.photopea.com/manifest.json	C:/pficina/paginasddescargadas/photofera/www.photopea.com/manifest.json	(from https://www.photopea.com/)
23:54:01	19492/19492	---MCZ	200	added ('OK')	text/css	etag:W/%225f88c834-4c24%22	https://www.photopea.com/style/all.css	C:/pficina/paginasddescargadas/photofera/www.photopea.com/style/all.css	(from https://www.photopea.com/)
23:54:02	12528/12528	---MC-	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202020%2004:54:01%20GMT	http://apis.google.com/js/client.js	C:/pficina/paginasddescargadas/photofera/apis.google.com/js/client.js	(from https://www.photopea.com/)
23:54:02	23/23	---M--	200	added ('OK')	application/javascript	etag:%2217-5898b78be3571%22	https://www.photopea.com/ads.js	C:/pficina/paginasddescargadas/photofera/www.photopea.com/ads.js	(from https://www.photopea.com/)
23:54:03	828859/828859	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fa9197a-ca5bb%22	https://www.photopea.com/code/external/ext.js	C:/pficina/paginasddescargadas/photofera/www.photopea.com/code/external/ext.js	(from https://www.photopea.com/)
23:54:03	786009/786009	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fa91db2-bfe59%22	https://www.photopea.com/code/DBS.js	C:/pficina/paginasddescargadas/photofera/www.photopea.com/code/DBS.js	(from https://www.photopea.com/)
23:54:09	47051/47051	---MC-	200	added ('OK')	text/javascript	date:Fri,%2023%20Oct%202020%2003:00:57%20GMT	http://www.google-analytics.com/analytics.js	C:/pficina/paginasddescargadas/photofera/www.google-analytics.com/analytics.js	(from https://www.photopea.com/)
23:54:10	1026732/1026732	---MCZ	200	added ('OK')	image/png	etag:W/%225d60fc75-faaac%22	https://www.photopea.com/rsrc/fonts/fonts.png	C:/pficina/paginasddescargadas/photofera/www.photopea.com/rsrc/fonts/fonts.png	(from https://www.photopea.com/style/all.css)
23:54:11	1791026/1791026	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fadbf8f-1b5432%22	https://www.photopea.com/code/pp.js	C:/pficina/paginasddescargadas/photofera/www.photopea.com/code/pp.js	(from https://www.photopea.com/)
